,axis,bootstrap,categorical_features,copy,criterion,dtype,fill_empty,handle_unknown,max_features,min_impurity_split,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,missing_values,n_estimators,n_jobs,n_values,oob_score,random_state,run_id,sparse,strategy,strategy_nominal,threshold,verbose,warm_start,value
21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2115419653718,0.0,18.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,64338.0,5967769.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9668335419274
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3989913154348,0.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8294.0,5967784.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9683979974969
23,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3586612934121,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,44277.0,5967947.0,0.0,2.0,0.0,0.0,0.0,0.0,0.9934292866083
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6780627249241,0.0,20.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,52648.0,5968208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9696495619524
25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7716778717088,0.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,19832.0,5968288.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9793491864831
26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3309464945396,0.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,35963.0,5968302.0,0.0,2.0,0.0,0.0,0.0,0.0,0.9749687108886
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5110047851571,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,58414.0,5968338.0,0.0,2.0,0.0,0.0,0.0,0.0,0.9777847309136
28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.366882566833,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,20363.0,5968384.0,0.0,2.0,0.0,0.0,0.0,0.0,0.9859198998748
29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2304126592716,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,39953.0,5968416.0,0.0,2.0,0.0,0.0,0.0,0.0,0.9743429286608
30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1136807575597,0.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,20611.0,5968468.0,0.0,2.0,0.0,0.0,0.0,0.0,0.9746558197747
